employee_id,first_name,last_name,full_name,email,city,department
2248,Anthony,Scott,Anthony Scott,Anthonys@gmail.com,Clarkfurt,Sales
2729,Christopher,Johnson,Christopher Johnson,Christopherj@gmail.com,Lake Aaron,Marketing
3387,Allen,Elliott,Allen Elliott,Allene@gmail.com,Timothyborough,Finance
42,Nicholas,Salazar,Nicholas Salazar,Nicholass@gmail.com,Cliffordfurt,Marketing
1120,Elaine,Hammer,Elaine Hammer,Elaineh@gmail.com,Kramerside,BI
2556,Gregory,Moyer,Gregory Moyer,Gregorym@gmail.com,Andrewburgh,Marketing
2043,Calvin,Villescas,Calvin Villescas,Calvinv@gmail.com,West Amyton,Marketing
1240,Kyle,Hiller,Kyle Hiller,Kyleh@gmail.com,Alyssaburgh,Marketing
431,Geraldine,White,Geraldine White,Geraldinew@gmail.com,Jasonview,Marketing
3579,Ray,Chiarini,Ray Chiarini,Rayc@gmail.com,Robertburgh,Finance
1349,Stephanie,Johnson,Stephanie Johnson,Stephaniej@gmail.com,Ramoshaven,Finance
3449,Betty,Karp,Betty Karp,Bettyk@gmail.com,South Lisa,Sales
1708,Rita,Fulgham,Rita Fulgham,Ritaf@gmail.com,Leslieshire,Sales
2720,Roy,Cruz,Roy Cruz,Royc@gmail.com,West Donna,Sales
1101,Rachell,Brown,Rachell Brown,Rachellb@gmail.com,Alexanderland,BI
2537,Sally,Coleman,Sally Coleman,Sallyc@gmail.com,Port Raven,Marketing
1559,Edward,Ames,Edward Ames,Edwarda@gmail.com,Smithmouth,Marketing
402,Philip,Williams,Philip Williams,Philipw@gmail.com,Richardport,Sales
1862,Walter,Harris,Walter Harris,Walterh@gmail.com,Lake John,BI
3431,Nathan,Boyett,Nathan Boyett,Nathanb@gmail.com,New Amanda,Finance
2623,Alice,Galindo,Alice Galindo,Aliceg@gmail.com,Johnmouth,Marketing
698,Mark,Amidon,Mark Amidon,Marka@gmail.com,Zimmermanbury,BI
3713,Michele,Stamp,Michele Stamp,Micheles@gmail.com,Ericaland,Marketing
2259,Daniel,Barnes,Daniel Barnes,Danielb@gmail.com,Rileyfort,Marketing
44,Vivian,Strong,Vivian Strong,Vivians@gmail.com,Allenburgh,Marketing
601,Irene,Thompson,Irene Thompson,Irenet@gmail.com,Melissaside,BI
2672,James,Findlay,James Findlay,Jamesf@gmail.com,Wheelerland,Sales
2552,Margaret,Erler,Margaret Erler,Margarete@gmail.com,West Megan,Finance
1065,Cheryl,Sears,Cheryl Sears,Cheryls@gmail.com,Millerstad,BI
2120,Lester,Wegener,Lester Wegener,Lesterw@gmail.com,West Joehaven,BI
3026,Margaret,Garrett,Margaret Garrett,Margaretg@gmail.com,Lake Olivia,Marketing
1070,Jeremy,Block,Jeremy Block,Jeremyb@gmail.com,Theodoreberg,Finance
1661,Doris,Loder,Doris Loder,Dorisl@gmail.com,South Christopher,BI
3111,Michelle,Green,Michelle Green,Michelleg@gmail.com,North Christopher,Finance
3492,Ruby,Antoine,Ruby Antoine,Rubya@gmail.com,West Veronica,BI
3678,Malinda,Stephens,Malinda Stephens,Malindas@gmail.com,Waynebury,Finance
3246,Kristi,Forbes,Kristi Forbes,Kristif@gmail.com,Mendezhaven,BI
639,Margo,Ahrendt,Margo Ahrendt,Margoa@gmail.com,Brendaview,BI
2245,James,Hairston,James Hairston,Jamesh@gmail.com,North Rebecca,Sales
3343,Louella,Feeley,Louella Feeley,Louellaf@gmail.com,Rosestad,Finance
2046,Efrain,Harvey,Efrain Harvey,Efrainh@gmail.com,Castrotown,Sales
