employee_id,first_name,last_name,full_name,email,city,department_id
1143,Marjorie,Barraza,Marjorie Barraza,Marjorieb@gmail.com,West Teresaberg,0
2825,Johnathan,Brooks,Johnathan Brooks,Johnathanb@gmail.com,Heatherburgh,3
344,Matthew,Madison,Matthew Madison,Matthewm@gmail.com,West Kathleentown,0
1474,Dorothy,Miranda,Dorothy Miranda,Dorothym@gmail.com,Port Kimberlystad,0
3592,Adam,Bradford,Adam Bradford,Adamb@gmail.com,Alexanderfurt,0
3345,Robert,Turner,Robert Turner,Robertt@gmail.com,Raymondborough,0
1528,Maggie,Allen,Maggie Allen,Maggiea@gmail.com,Lake Tiffanyfurt,2
3753,Jean,Deutsch,Jean Deutsch,Jeand@gmail.com,New Laurie,1
1170,George,Anderson,George Anderson,Georgea@gmail.com,Lake Jennifer,2
1186,Rick,Billingsley,Rick Billingsley,Rickb@gmail.com,Poncestad,2
2248,Anthony,Scott,Anthony Scott,Anthonys@gmail.com,Clarkfurt,1
2729,Christopher,Johnson,Christopher Johnson,Christopherj@gmail.com,Lake Aaron,3
3387,Allen,Elliott,Allen Elliott,Allene@gmail.com,Timothyborough,0
42,Nicholas,Salazar,Nicholas Salazar,Nicholass@gmail.com,Cliffordfurt,3
1120,Elaine,Hammer,Elaine Hammer,Elaineh@gmail.com,Kramerside,2
2556,Gregory,Moyer,Gregory Moyer,Gregorym@gmail.com,Andrewburgh,3
2043,Calvin,Villescas,Calvin Villescas,Calvinv@gmail.com,West Amyton,3
1240,Kyle,Hiller,Kyle Hiller,Kyleh@gmail.com,Alyssaburgh,3
431,Geraldine,White,Geraldine White,Geraldinew@gmail.com,Jasonview,3
3579,Ray,Chiarini,Ray Chiarini,Rayc@gmail.com,Robertburgh,0
1349,Stephanie,Johnson,Stephanie Johnson,Stephaniej@gmail.com,Ramoshaven,0
3449,Betty,Karp,Betty Karp,Bettyk@gmail.com,South Lisa,1
1708,Rita,Fulgham,Rita Fulgham,Ritaf@gmail.com,Leslieshire,1
2720,Roy,Cruz,Roy Cruz,Royc@gmail.com,West Donna,1
1101,Rachell,Brown,Rachell Brown,Rachellb@gmail.com,Alexanderland,2
2537,Sally,Coleman,Sally Coleman,Sallyc@gmail.com,Port Raven,3
1559,Edward,Ames,Edward Ames,Edwarda@gmail.com,Smithmouth,3
402,Philip,Williams,Philip Williams,Philipw@gmail.com,Richardport,1
1862,Walter,Harris,Walter Harris,Walterh@gmail.com,Lake John,2
3431,Nathan,Boyett,Nathan Boyett,Nathanb@gmail.com,New Amanda,0
2623,Alice,Galindo,Alice Galindo,Aliceg@gmail.com,Johnmouth,3
698,Mark,Amidon,Mark Amidon,Marka@gmail.com,Zimmermanbury,2
3713,Michele,Stamp,Michele Stamp,Micheles@gmail.com,Ericaland,3
2259,Daniel,Barnes,Daniel Barnes,Danielb@gmail.com,Rileyfort,3
44,Vivian,Strong,Vivian Strong,Vivians@gmail.com,Allenburgh,3
601,Irene,Thompson,Irene Thompson,Irenet@gmail.com,Melissaside,2
2672,James,Findlay,James Findlay,Jamesf@gmail.com,Wheelerland,1
2552,Margaret,Erler,Margaret Erler,Margarete@gmail.com,West Megan,0
1065,Cheryl,Sears,Cheryl Sears,Cheryls@gmail.com,Millerstad,2
2120,Lester,Wegener,Lester Wegener,Lesterw@gmail.com,West Joehaven,2
3026,Margaret,Garrett,Margaret Garrett,Margaretg@gmail.com,Lake Olivia,3
1070,Jeremy,Block,Jeremy Block,Jeremyb@gmail.com,Theodoreberg,0
1661,Doris,Loder,Doris Loder,Dorisl@gmail.com,South Christopher,2
3111,Michelle,Green,Michelle Green,Michelleg@gmail.com,North Christopher,0
3492,Ruby,Antoine,Ruby Antoine,Rubya@gmail.com,West Veronica,2
3678,Malinda,Stephens,Malinda Stephens,Malindas@gmail.com,Waynebury,0
3246,Kristi,Forbes,Kristi Forbes,Kristif@gmail.com,Mendezhaven,2
639,Margo,Ahrendt,Margo Ahrendt,Margoa@gmail.com,Brendaview,2
2245,James,Hairston,James Hairston,Jamesh@gmail.com,North Rebecca,1
3343,Louella,Feeley,Louella Feeley,Louellaf@gmail.com,Rosestad,0
2046,Efrain,Harvey,Efrain Harvey,Efrainh@gmail.com,Castrotown,1
